Year,Country,Population (in millions),ln(population),Real GDP(in million $),ln(real gdp),Per Capita Real GDP,ln(per capita real gdp)
1980,Greece,9.634504318,2.265350855,137380.0938,11.83050677,14259.1761,9.565155916
1980,Grenada,0.08900500089,-2.419062721,323.3441162,5.778717131,3632.875827,8.197779852
1980,Guatemala,7.283459187,1.985605912,27285.17969,10.21409897,3746.184195,8.228493053
1980,"China, Hong Kong SAR",4.915466785,1.592386721,73174.25781,11.20059897,14886.53286,9.608212248
1980,Honduras,3.678286076,1.302446903,10129.86133,9.223242908,2753.96234,7.920796005
1980,Haiti,5.688836098,1.738505675,10020.02441,9.212340811,1761.348761,7.473835136
1980,Hungary,10.75476646,2.375349048,109717.4609,11.6056638,10201.75206,9.230314755
1980,Indonesia,148.0779266,4.997738667,327585.3125,12.6995038,2212.249455,7.70176513
1980,India,696.7835083,6.546474757,810137.25,13.60495896,1162.681436,7.058484199
1980,Ireland,3.434952974,1.234003235,43108.87891,10.67148426,12550.06378,9.437481027
1980,Iran (Islamic Republic of),38.66822052,3.655018087,121547.1016,11.70805713,3143.333206,8.053039046
1980,Iraq,13.6533556,2.613985323,84340.39844,11.34261625,6177.265203,8.728630929
1980,Iceland,0.2282620072,-1.477261155,5743.743164,8.655866396,25162.93988,10.13312755
1980,Israel,3.744667053,1.320332709,61987.48828,11.03468784,16553.53798,9.714355133
1980,Italy,56.41927719,4.032810894,1117222.875,13.92635659,19802.14796,9.893545694
1980,Jamaica,2.16304493,0.7715169186,9150.036133,9.121513107,4230.16462,8.349996189
1980,Jordan,2.374422073,0.8647540703,9883.50293,9.198622275,4162.487807,8.333868205
1980,Japan,117.8273544,4.769220455,2236475.75,14.62041186,18980.95532,9.851191404
1980,Kenya,16.26898956,2.789260815,33362.66016,10.41519259,2050.690366,7.625931779
1980,Cambodia,6.692107201,1.900928802,5528.17334,8.617612722,826.0736378,6.716683919
1980,Saint Kitts and Nevis,0.0432099998,-3.141683334,318.1392212,5.762489089,7362.629546,8.904172423
1980,Republic of Korea,38.05042267,3.638912192,183812.2344,12.12167005,4830.754075,8.482757858
1980,Kuwait,1.372318029,0.3165013023,77993.07813,11.26437536,56833.09295,10.94787406
1980,Lao People's DR,3.258143902,1.181157678,2635.168213,7.876702297,808.7942989,6.695544619
1980,Lebanon,2.605293036,0.9575451585,14874.43262,9.607399086,5709.312701,8.649853928
1980,Liberia,1.888314009,0.6356843721,3485.023682,8.156230118,1845.574235,7.520545746
1980,Saint Lucia,0.1179869995,-2.137180835,782.9105225,6.663018414,6635.566004,8.800199249
1980,Sri Lanka,15.03585625,2.710437765,35231.60547,10.46969884,2343.17254,7.759261076
1980,Lesotho,1.31011796,0.2701171789,2585.451172,7.857655306,1973.449148,7.587538127
1980,Luxembourg,0.3640379906,-1.010497047,8729,9.074406095,23978.26663,10.08490314
1980,"China, Macao SAR",0.2381179929,-1.43498896,3225.748779,8.078920382,13546.8502,9.513909342
1980,Morocco,20.01984787,2.996724175,53087.33984,10.87969376,2651.735427,7.882969583
1980,Madagascar,8.716552734,2.165223831,12701.28027,9.449458076,1457.14489,7.284234245
1980,Maldives,0.1583849937,-1.842726541,540.022583,6.291610959,3409.556489,8.1343375
1980,Mexico,69.36087036,4.239322881,851142.875,13.65433528,12271.22541,9.415012403
1980,Mali,7.090126038,1.958703117,4618.395996,8.437802737,651.3841886,6.47909962
1980,Malta,0.3332740068,-1.098790284,3171.270996,8.061887732,9515.506553,9.160678016
1980,Myanmar,33.36971283,3.507648687,29367.99414,10.28766073,880.079319,6.780012039
1980,Mongolia,1.689622045,0.5245048617,2838.537598,7.951044268,1679.983761,7.426539406
1980,Mozambique,11.84833145,2.472187052,7336.733398,8.900648981,619.22081,6.42846193
1980,Mauritania,1.534085035,0.4279341351,3682.674561,8.21139455,2400.567423,7.783460415
1980,Montserrat,0.01192000043,-4.429537582,171.7730713,5.146174253,14410.49204,9.575711834
1980,Mauritius,0.9660310149,-0.03455933874,5721.905273,8.652057119,5923.107214,8.686616457
1980,Malawi,6.163080215,1.818576688,7316.041504,8.897824683,1187.075496,7.079247995
1980,Malaysia,13.79812527,2.624532733,90517.19531,11.41329512,6560.108244,8.788762382
1980,Namibia,1.012671947,0.01259233025,5881.39209,8.679548763,5807.796004,8.666956433
1980,Niger,5.988903999,1.789908424,8073.692871,8.996366261,1348.108581,7.206457838
1980,Nigeria,73.46072388,4.296750894,411231,12.92691038,5597.970974,8.630159485
1980,Nicaragua,3.249910116,1.178627339,16319.53711,9.700118265,5021.534912,8.521490925
1980,Netherlands,14.14841461,2.649602576,322817,12.68484088,22816.47866,10.0352383
1980,Norway,4.086075783,1.407585043,99120.58594,11.50409243,24258.13695,10.09650738
1980,Nepal,14.90216255,2.70150634,11090.05566,9.3138041,744.1910277,6.61229776
1980,New Zealand,3.146619081,1.146328569,51180.71094,10.843118,16265.30241,9.696789432
1980,Oman,1.15437901,0.1435625459,13300.85352,9.495583486,11522.08538,9.35202094
1980,Pakistan,78.06814575,4.357582109,162794.2031,12.00024212,2085.283332,7.642660016
1980,Panama,1.978577971,0.6823783904,12303.15039,9.417610638,6218.178191,8.735232247
1980,Peru,17.35911942,2.854117983,68160.16406,11.12961557,3926.475902,8.275497586
1980,Philippines,47.39696884,3.858558278,151617.25,11.92911453,3198.880724,8.070556254
1980,Poland,35.53510666,3.570521128,221294.2813,12.30724868,6227.483243,8.736727556
1980,Portugal,9.804850578,2.28287722,101423.0234,11.5270554,10344.16819,9.24417818
1980,Paraguay,3.180629969,1.157079281,11032.99707,9.308645795,3468.808751,8.151566515
1980,State of Palestine,1.509183049,0.4115684774,4322.236816,8.371528329,2863.957966,7.959959851
1980,Qatar,0.2237749994,-1.497114199,17726.54883,9.782818729,79215.94851,11.27993293
1980,Romania,22.6119709,3.118479452,140702.2031,11.8544009,6222.465248,8.735921449
1980,Rwanda,5.140716076,1.637192384,6105.721191,8.716981511,1187.718034,7.079789127
1980,Saudi Arabia,9.740598679,2.276302582,382842.9375,12.8553801,39303.84057,10.57907752
1980,Sudan,14.50746822,2.674663567,23961.7207,10.08421287,1651.681764,7.409549299
