Year,Country,Population (in millions),Real GDP(in milllion $)
1980,El Salvador,4.580704212,11723.16797
1980,Sao Tome and Principe,0.094949,246.6353302
1980,Suriname,0.362776995,2094.105469
1980,Sweden,8.316337585,164282.0469
1980,Eswatini,0.603371978,2048.29541
1980,Seychelles,0.066294,976.3562622
1980,Syrian Arab Republic,8.930773735,20728.50586
1980,Turks and Caicos Islands,0.007519,497.6207275
1980,Chad,4.512042046,3760.974365
1980,Togo,2.720839024,5994.869629
1980,Thailand,47.38532257,157532.9219
1980,Trinidad and Tobago,1.085307956,21973.5918
1980,Tunisia,6.368166924,28164.50195
1980,Turkey,43.97592163,337901.6875
1980,Taiwan,17.70453835,170902.1875
1980,U.R. of Tanzania: Mainland,18.68315697,33866.50781
1980,Uganda,12.54953957,9430.073242
1980,Uruguay,2.915777922,27169.98047
1980,United States,229.7630463,6698716
1980,St. Vincent and the Grenadines,0.100505002,418.3520203
1980,Venezuela (Bolivarian Republic of),15.34391594,162005.75
1980,British Virgin Islands,0.011002,82.18734741
1980,Viet Nam,54.37251282,56182.33984
1980,South Africa,29.76047134,266494.875
1980,Zambia,5.889229774,8413.195313
1980,Zimbabwe,7.164172173,18222.8457
