Year,Country,Population (in millions),Real GDP(in milllion $)
1985,Aruba,0.063026004,1576.163574
1985,Angola,10.60904217,28720.04297
1985,Anguilla,0.006662,91.80814362
1985,Albania,2.966798067,9950.552734
1985,United Arab Emirates,1.391052008,194064.3906
1985,Argentina,30.3887825,133327.2344
1985,Antigua and Barbuda,0.069781996,433.4667358
1985,Australia,15.72964287,374576
1985,Austria,7.614868164,140056.1563
1985,Burundi,4.702065945,4380.504883
1985,Belgium,9.916578293,170603.2969
1985,Benin,4.278501034,7867.987793
1985,Burkina Faso,7.727907181,7190.430664
1985,Bangladesh,93.19986725,117072.6875
1985,Bulgaria,8.975291252,77476.39063
1985,Bahrain,0.419429988,3950.461914
1985,Bahamas,0.234687001,5683.643555
1985,Belize,0.164921001,615.1000366
1985,Bermuda,0.05892,20962.34766
1985,Bolivia (Plurinational State of),6.211550236,13773.95215
1985,Brazil,135.6762848,731457.125
1985,Barbados,0.255923986,2699.255615
1985,Brunei Darussalam,0.224511996,14195.21582
1985,Bhutan,0.467177987,1131.201172
1985,Botswana,1.189113975,4280.506836
1985,Central African Republic,2.634232044,3056.676758
1985,Canada,25.87394905,693214.1875
1985,Switzerland,6.456223965,200398.875
1985,Chile,12.18102837,68597.50781
1985,China,1070.863403,2617153.75
1985,C̫te d'Ivoire,10.22255802,24688.07031
1985,Cameroon,10.05002308,32272.95117
1985,D.R. of the Congo,29.88344574,58802.10938
1985,Congo,2.127769947,9284.380859
1985,Colombia,31.01168823,197482.875
1985,Comoros,0.355336994,1502.843018
1985,Cabo Verde,0.31506899,554.9654541
1985,Costa Rica,2.730232954,18822.89844
1985,Cayman Islands,0.019313,711.3493042
1985,Cyprus,0.541100025,8836.78418
1985,Germany,77.71743011,1478414.625
1985,Djibouti,0.425612986,1440.394775
1985,Dominica,0.073642999,483.7260437
1985,Denmark,5.114243031,111434.4688
1985,Dominican Republic,6.488855839,29778.84961
1985,Algeria,22.56590462,266810.625
1985,Ecuador,9.045978546,57875.63672
1985,Egypt,50.20498657,92199.97656
1985,Spain,38.83588409,473920.8438
1985,Ethiopia,40.80034256,36441.33203
1985,Finland,4.911220074,98000.02344
1985,Fiji,0.711660981,3379.588135
1985,France,56.81077194,1163530.125
1985,Gabon,0.83008498,9520.269531
1985,United Kingdom,56.4661293,1157058.375
1985,Ghana,12.71622753,33034.31641
1985,Guinea,5.084766865,16168.50488
1985,Gambia,0.732096016,2097.773438
1985,Guinea-Bissau,0.899509013,921.1644897
1985,Equatorial Guinea,0.358895987,784.7838135
1985,Greece,9.974739075,139607.2188
1985,Grenada,0.099905998,359.155426
1985,Guatemala,8.240059853,27431.28125
1985,"China, Hong Kong SAR",5.337622166,88697.8125
1985,Honduras,4.281188965,10931.86523
1985,Haiti,6.384194851,9333.592773
1985,Hungary,10.56681728,110519.1406
1985,Indonesia,165.6791382,414973.8438
1985,India,781.666687,807024.625
1985,Ireland,3.564959049,44511.87109
1985,Iran (Islamic Republic of),47.34270096,143828.0781
1985,Iraq,15.57639503,68254.9375
1985,Iceland,0.241582006,6116.977051
1985,Israel,4.082787037,72472.875
1985,Italy,57.01235199,1093112.5
1985,Jamaica,2.338638067,8093.103027
1985,Jordan,2.895984888,11652.95898
1985,Japan,121.8940353,2244670.75
1985,Kenya,19.65122414,40626.08203
1985,Cambodia,7.712977886,6203.693848
1985,Saint Kitts and Nevis,0.042013001,345.3723755
1985,Republic of Korea,40.80857086,270558.75
1985,Kuwait,1.738994002,56933.46484
1985,Lao People's DR,3.687897921,3858.587158
1985,Lebanon,2.676583052,21741.5957
1985,Liberia,2.192554951,2846.333984
1985,Saint Lucia,0.126417995,824.6030884
1985,Sri Lanka,16.17979622,42357.05469
1985,Lesotho,1.472192049,2890.993652
1985,Luxembourg,0.366883993,8208.395508
1985,"China, Macao SAR",0.283580989,4427.253906
1985,Morocco,22.5373764,77153.19531
1985,Madagascar,10.06349468,13634.67578
1985,Maldives,0.189637005,771.2143555
1985,Mexico,77.36071014,897688.5
1985,Mali,7.831889153,7081.039063
1985,Malta,0.349195987,3792.394287
1985,Myanmar,37.22229767,37928.51953
1985,Mongolia,1.92188096,4017.296387
1985,Mozambique,12.98440456,5856.639648
1985,Mauritania,1.769942045,3567.625977
1985,Montserrat,0.011324,185.338501
1985,Mauritius,1.015761971,7044.232422
1985,Malawi,7.21110487,10347.36328
1985,Malaysia,15.5989418,108602.2578
1985,Namibia,1.148301959,6209.883789
1985,Niger,6.915926933,6294.622559
1985,Nigeria,83.61329651,404346
1985,Nicaragua,3.709090948,17555.95703
1985,Netherlands,14.51394939,304675.9063
1985,Norway,4.153104782,111111.5703
1985,Nepal,16.72395515,15136.21484
1985,New Zealand,3.268235922,58363.6875
1985,Oman,1.49841702,21669.11328
1985,Pakistan,92.21949005,217208.6563
1985,Panama,2.219275951,13457
1985,Peru,19.54495621,71856.28125
1985,Philippines,54.32364655,149103.875
1985,Poland,37.12871552,266428.3438
1985,Portugal,9.985574722,96149.79688
1985,Paraguay,3.671825886,12607.72754
1985,State of Palestine,1.758476973,4363.694336
1985,Qatar,0.371080995,12304.41992
1985,Romania,23.10364532,163788.5781
1985,Rwanda,6.120107174,7125.802734
1985,Saudi Arabia,13.18911457,234197.3906
1985,Sudan,17.21018791,26638.83008
1985,Senegal,6.484737873,16851.91211
1985,Singapore,2.705534935,50625.70703
1985,Sierra Leone,3.799550056,4552.381836
1985,El Salvador,4.923860073,11311.0459
1985,Sao Tome and Principe,0.103634,209.3163452
1985,Suriname,0.371470004,2311.978271
1985,Sweden,8.357651711,186308.2344
1985,Eswatini,0.70508498,2705.582275
1985,Seychelles,0.069835998,880.0948486
